plot ID,site,arbeitsname,Name,Betula_pendula_TL,Picea_abies_TL,Pinus_sylvestris_TL,Betula_pubescens_TL,Agrostis_capillaris_HL,Agrostis_stolonifera_HL,Betula_HL,Brachypodium_sylvaticum_HL,Calamagrostis_epigejos_HL,Callitriche_palustris_HL,Calluna_vulgaris_HL,Carex_canescens_HL,Carex_echinata_HL,Carex_nigra_HL,Carex_pilulifera_HL,Carex_rostrata_HL,Deschampsia_cespitosa_HL,Digitalis_purpurea_HL,Dryopteris_carthusiana_HL,Epilobium_angustifolium_HL,Eriophorum_angustifolium_HL,Frangula_alnus_HL,Holcus_lanatus_HL,Juncus_bulbosus_HL,Juncus_effusus_HL,Luzula_multiflora_HL,Luzula_pilosa_HL,Lycopus_europaeus_HL,Molinia_caerulea_HL,Picea_abies_HL,Pinus_sylvestris_HL,Pteridium_aquilinum_HL,Quercus_robur_HL,Rubus_caesius_HL,Salix_aurita_HL,Schedonorus_giganteus_HL,Scrophularia_nodosa_HL,Vaccinium_myrtillus_HL,Vaccinium_oxycoccos_HL,Vaccinium_vitis_idaea_HL,Typha_latifolia_HL,Campylopus_flexuosus_ML,Campylopus_pyriformis_ML,Dicranella_cerviculata_ML,Dicranodontium_denudatum_ML,Dicranum_flagellare_ML,Dicranum_scoparia_ML,Fuscocephaloziopsis_connivens_ML,Hypnum_cupressiforme_ML,Hypnum_jutlandicum_ML,Lepidozia_reptans_ML,Leucobryum_glaucum_ML,Lophocolea_heterophylla_ML,Mnium_hornum_ML,Pohlia_nutans_ML,Polytrichum_formosum_ML,Riccardia_latifrons_ML,Sphagnum_auriculatum_ML,Sphagnum_capillifolium_ML,Sphagnum_cuspidatum_ML,Sphagnum_fallax_ML,Sphagnum_fimbriatum_ML,Sphagnum_girgensohnii_ML,Sphagnum_russowii_ML,Sphagnum_squarrosum_ML,Tetraphis_pellucida_ML,Betula_pendula_SL,Betula_pubescens_SL,Fagus_sylvatica_SL,Frangula_alnus_SL,Picea_abies_SL,Pinus_sylvestris_SL,Salix_aurita_SL
11,Meu_trock,WM11,MT11,,,,,,,"0,1",,,,,,,,,,,,"0,5",,,"0,1",,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,5",,,,,,,,,,,,,,,,,
12,Meu_trock,WM12,MT12,,,,,,,"4,5",,,,,,,"0,1",,,,,,,,"0,5",,,,,,,38,,"0,1",,,,,,,,,,,,,,,,,,"4,5",,,,,,,,,,,,,,,,,,,,,"4,5",,,
13,Meu_trock,WM13,MT13,,,,,,,"0,1",,,,,,,,,,,,,,,"0,1",,,,,,,18,,"0,1",88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Meu_trock,WM14,MT14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Meu_trock,WM15,MT15,,,,,,,"0,1",,,,,,,,,,,,,,,"0,1",,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Meu_trock,WM16,MT16,,,,,,,"4,5",,,,,,,,,,,,,,,,,,,,,,18,,"0,1",,,,,,,,,,,,"0,1",,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,
17,Meu_trock,WM17,MT17,,,,,,,"4,5",,,,,,,,,,,,,,,,,,,,,,38,,"4,5",,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,
18,Meu_trock,WM18,MT18,,,,,,,"4,5",,,,,,,,,,,,,,,,,,,,,,38,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,
19,Meu_trock,WM19,MT19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,"4,5",,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,
20,Meu_trock,WM20,MT20,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,88,,,,,,,,,,,,,,"0,1",,,,"0,1",,"0,5",,,,,,,,,,,,,,,,,,,,,,,,
21,Meu_trock,WM21,MT21,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,63,,"0,5",,,,,,,,,,,,,,,,,,"0,5",,,,,,,"4,5",,,,,,,,,,,,,,,,,
22,Meu_trock,WM22,MT22,,,,,,,18,,,,,,,,,,,,"0,5",,,,,,,,,,63,,"0,5",,,,,,,"4,5",,,,,,,,,,,"4,5",,,,,,,18,,,,,,,,,,,88,,,,,,
23,Meu_trock,WM23,MT23,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,38,,"0,5",,,,,,,,,,,,,,,,,,"0,1",,,,,,,18,,,,,,,,,,,,,,,,,
24,Meu_trock,WM24,MT24,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,38,,"0,5",,,,,,,"4,5",,,,,,,,,,,,,,,,,,"4,5",,,,,,,,,,,,,,"0,5",,,
25,Meu_trock,WM25,MT25,,,,,,,,,,,,,,,,,,,"4,5",,,"0,5",,,,,,,18,,,,,,,,,38,,,,,"0,1",,,,"0,1",,"0,5",,,,,,,38,,,,,,,,,,,,,,"4,5",,,
26,Meu_trock,WM26,MT26,,,,,,,"0,5",,,,,,,,,,,,18,,,"0,5",,,,,,,18,,"0,5",,,,,,,,,,,,,,,,,,"4,5","0,1",,,,,,18,,,,,,"0,1",,,,,,,,38,,,
27,Meu_trock,MO1,MT27,,,,,,,"0,1",,,,,,,,,,,,18,,,,,,,,,,38,,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,"4,5",,,,,,,,,,,,,,"0,5",,,
28,Meu_trock,MO2,MT28,,,,,,,,,,,,,,,,,,,"0,5",,,"0,1",,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,63,,,
29,Meu_trock,MO3,MT29,,,,,,,"0,5",,,,,,,,,,,,"4,5",,,"0,5",,,,,,,18,,"0,1",,"0,5",,,,,,,,,,,,,,,,,"0,1",,,,,,"4,5",,,,,,,,,,,,,,63,,,
30,Meu_trock,MO4,MT30,,,,,,,,,,,,,,,,,,,"0,5",,,"0,5",,,,,,,"4,5",,"0,1",,,,,,,,,,,,,,,,"4,5",,,"0,5",,,,,,"4,5",,,,,,,,,,,,,,63,,,
31,Meu_trock,MO5,MT31,,,,,,,,,,,,,,,,,,,,,,"4,5",,,,,,,"0,5",,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,18,,,,,,,,,,,,,,"4,5",,,
32,Meu_trock,MO6,MT32,,,,,,,,,,,,,,,,,,,"0,1",,,"0,1",,,,,,,"4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,"0,5",,"4,5",
33,Meu_trock,MO7,MT33,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,38,,,
34,Meu_trock,MO8,MT34,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,38,,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,"0,1",,,,,,,,,,,,,,,,"0,5",
35,Meu_trock,MO9,MT35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,5",,,,,,,,,,,,,,,,"4,5",
36,Meu_trock,MO10,MT36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,"0,1",,,,,,,,,,,,,18,,,"0,5",,,,,,,,,,,,,,
37,Meu_trock,MO11,MT37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,"0,5",,,,,"4,5",
38,Meu_trock,MO12,MT38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,5",,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,
39,Meu_trock,MO13,MT39,,,,,,,,,,,,,,,,,,,,,,"0,1",,,,,,,38,,"0,5",,,,,,,"0,5",,,,,,,,"0,1",,,,,"0,1",,"0,1",,,18,,,,,,,,,,,,,,"4,5",,"0,5",
40,Meu_trock,MO14,MT40,,,,,,,"0,5",,,,,,,,,,,,,,,"0,1",,,,,,,18,,"0,5",,,,,,,,,,,,,,,,,,,"0,5",,,,,,"4,5",,,,,,,,,,,,,,"0,5",,,
41,Meu_trock,MO15,MT41,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,18,,"0,1",,,,,,,"4,5",,,,,,,,,,,,"0,1",,,,,,38,,,,,,,,,,,,,,"0,5",,,
42,Meu_trock,MO16,MT42,,,,,,,"0,1",,,,,,,,,,,,"4,5",,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,
43,Meu_trock,MO17,MT43,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,5",,,,,,,,,,,,,,,,,
44,Meu_trock,MO18,MT44,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,"4,5",,,,,,,,,,,,,,,,,,"0,1",,,,,,,,,"0,1",,,,,,,,,,,,,,,,,
45,Meu_trock,MO19,MT45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,"0,1",,,,,,,,,,,,,,,,,,,,,,,
46,Meu_trock,MO20,MT46,,,,,,,"0,1",,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,
47,Meu_trock,MO21,MT47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,"4,5",,,,,,,,,,,,"0,1",,,,,,"0,1",,,,,,,,,,,,,,,,,
48,Meu_trock,MO22,MT48,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,"0,1",,,,,,"0,5",,,,,,,,,,,,,,"4,5",,,
49,Meu_trock,MO23,MT49,,,,,,,"0,1",,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,"0,1",,,,,,"0,5",,,,,,,,,,,,,,"0,1",,,
50,Meu_trock,MO24,MT50,,,,,,,"4,5",,,,,,,,,,,,,,,"0,5",,,,,,,63,,,,,,,,,,,,,,,,,,"0,1",,,"0,5",,,,,,"4,5",,,,,,,,,,,,,,,,,
51,Meu_trock,MO25,MT51,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,"0,5",,,,,,,,,,,,,,"4,5",,,
52,Meu_trock,MO26,MT52,,,,,,,"0,1",,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,"0,1",,,,,,"0,5",,,,,,"0,5",,,,,,,,,,,,,,"4,5",,,
53,Meu_trock,MO27,MT53,,,,,,,"0,1",,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,"0,1",,,,,,"0,5",,,,,,"4,5",,,,,,,,,,,,,,,,,
54,Meu_trock,NM1,MT54,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,18,,,,,,"4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Meu_trock,NM2,MT55,,,"4,5",,,,"0,5",,,,,,,,,,,,,,,,,,,,,,"0,5",,,63,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Meu_trock,NM3,MT56,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,"4,5",,,63,,,,,,"4,5",,,,,,,,,,,,,,,,,,"0,1",,,,,,,,,,,,,,,,,
57,Meu_trock,NM4,MT57,,,,,,,"0,5",,,,,,,,,,,,,,,"0,1",,,,,,,"4,5",,"0,1",38,,,,,,,,,,,,,,,,,,,,,,,,"0,1",,,,,,,,,,,,,,,,,
58,Meu_trock,NM5,MT58,,,,,,,"4,5",,,,,,,,,,,,,,,"0,1",,,,,,,"4,5",,,88,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,"0,5",,,,
59,Meu_trock,NM6,MT59,,,,,,,"4,5",,,,,,,,,,,,,,,,,,,,,,38,,,18,,,,,,,,,,,,,,,,,,,,,,,,"4,5",,,,,,,,,,,,,,,,,
60,Meu_trock,NM7,MT60,,,,,,,"0,5",,,,,,,,,,,,"4,5",,,"0,1",,,,,,,38,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,"0,1",,,,,,,,,,,,,,"4,5",,,
61,Meu_trock,NM8,MT61,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,88,,"0,1","0,1",,,,,,,,,,,,,,,,,,"0,5",,,,,,"4,5",,,,,,,,,,,,,,,,,
62,Meu_trock,NM9,MT62,,,,,,,"4,5",,,,,,,,,,,,,,,"0,1",,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,5",,,,,,,,,,,,,,,,,
63,Meu_trock,NM10,MT63,,,,,,,"0,5",,,,,,,,,,,,,,,"0,5",,,,,,,88,,"0,1",,,,,,,,,,,,,,,,"0,1",,,"0,1",,,,,,"4,5",,,,,,,,,,,,,,"4,5",,,
64,Meu_trock,NM11,MT64,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,88,,"0,5",,,,,,,,,,,,,,,,,,,"0,5",,,"0,5",,,"0,5",,,,,,,,,,,,,,"4,5",,,
65,Meu_trock,NM12,MT65,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,"4,5",,,,,,,,,,,,,,,,,,,"0,1",,,,,,"4,5",,,,,,,,,,,,,,63,,,
66,Meu_trock,NM13,MT66,,,,,,,"0,5",,,,,,,,,,,,"0,5",,,"0,5",,,,,,,18,,,,,,,,,"0,5",,,,,,,,,,,,"0,1",,,,,,"4,5",,,,,,,,,,,,,,,,"4,5",
67,Meu_trock,NM14,MT67,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,"4,5",,,,,,,,,"4,5",,,,,,,,,,,,"0,5",,,,,,18,,,,,,,,,,,,,,"4,5",,"4,5",
68,Meu_trock,NM15,MT68,,,,,,,,,,,,,,,,,,,"0,5",,,"0,1",,,,,,,"4,5",,"0,1",,,,,,,"4,5",,,,,,"0,1",,,,,,"0,5",,,,,"0,5","0,1",,,,,,,,,,,,"4,5",,,,"4,5",
69,Meu_trock,NM16,MT69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,"4,5",,,,,,,"0,5",,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,
70,Meu_trock,NM17,MT70,,,,,,,"0,5",,,,,,,,,,,,,,,"0,5",,,,,,,38,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,"0,1","0,5",,,,,,,,,,,,,,,,,
71,Meu_trock,NM18,MT71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,"4,5",,,,,,,,,,,,,,,,,,,,"0,5",,,
72,Meu_trock,NM19,MT72,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,88,,"0,1",,,,,,,38,,,,,,,,,,,,,,,,,,"0,1",,,,,,,,,,,,,,,,,
73,Meu_trock,NM20,MT73,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,38,,"0,5",,,,,,,38,,,,,"0,5",,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,
74,Meu_trock,NM21,MT74,,,,,,,"0,5",,,,,,,,,,,,"0,5",,,,,,,,,,18,,"0,5",,,,,,,18,,,,,"0,1",,,,"0,1",,,,,,,,,38,,,,,,,,,,,,,,,,,
75,Meu_trock,NM22,MT75,,,,,,,"4,5",,,,,,,,,,,,"4,5",,,,,,,,,,"4,5",,"0,5",,,,,,,"4,5",,,,,"4,5",,,,"4,5",,,,,,,,,38,,,,,,,,,,,,,,,,,
76,Meu_trock,NM23,MT76,,,,,,,"4,5",,,,,,,,,,,,"4,5",,,"0,1",,,,,,,38,,"0,5",,,,,,,,,,,,"0,5",,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,
77,Meu_trock,NM24,MT77,,,,,,,"4,5",,,,,,,,,,,,,,,"4,5",,,,,,,18,,"4,5",,,,,,,38,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,
78,Meu_trock,NM25,MT78,,,,,,,"4,5",,,,,,,,,,,,,,,,,,,,,,18,,"0,5",,,,,,,63,,,,,,,,,,,,"4,5",,,,,,"4,5",,,,,,,,,,,,,,,,,
79,Meu_trock,NM26,MT79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,5",,"0,5",,,,,,,,,,,,"0,1",,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,
80,Meu_trock,NM27,MT80,,,,,,,"4,5",,,,,,,,,,,,"4,5",,,"0,1",,,,,,,38,,,,,"0,5",,,,,,,,,,,,,,,,"0,5",,,,,,"4,5",,,,,,,,,,,,,,,,,
81,Meu_trock,NM28,MT81,,,,,,,"4,5",,,,,,,,,,,,"4,5",,,,,,,,,,63,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,"4,5",,,,,,,,,,,,,,,,,
82,Meu_trock,NM29,MT82,,,,,,,"0,5",,,,,,,,,,,,"4,5",,,"0,5",,,,,,,18,,,,,,,,,,,,,,,,,,,,,"4,5",,,,,,"4,5",,,,,,,,,,,,,,38,,,
83,Meu_trock,SM1,MT83,,,,"4,5",,,"0,1",,,,,,,,,,,,,,,"0,5",,,,,,,"4,5",,,,,,,,,,,,,"0,1",,,,,"0,1",,"4,5",,,,,,,,,,,,,,,,,,,,,,,,
84,Meu_trock,SM2,MT84,,,,"4,5",,,,,,,,,,,,,,,,,,"0,1",,,,,,,18,,,,,,,,,,,,,"0,1",,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,
85,Meu_trock,SM3,MT85,,,,,,,"0,5",,,,,,,,,,,,"4,5",,,,,,,,,,88,,,"4,5",,,,,,,,,,"0,1",,,,,"0,1",,"0,5",,,,,,,"4,5",,,,,,,,,,"0,1",,,,,,,
86,Meu_trock,SM4,MT86,,,,,,,,,,,,,,,,,,,18,,,"0,5",,,,,,,18,,,,,,,,,,,,,,,,,,,,"4,5",,,,,,,"4,5",,,,,,,,,,,,,,,,,
87,Meu_trock,SM5,MT87,,,,,,,"0,5",,,,,,,,,,,,"4,5",,,,,,,,,,18,,"0,1",,,,,,,"4,5",,,,,,,,,,,18,,,,,,,"0,5",,,,,,,,,,,"4,5",,,"4,5",,,
88,Meu_trock,SM6,MT88,,,,,,,"0,1",,,,,,,,,,,,,,,"4,5",,,,,,,18,,,,,,,,,"4,5",,,,,,,,,,,"4,5",,,,,"0,5","0,5",,,,,,,,,,,,,,,38,,,
89,Meu_trock,SM7,MT89,,,,,,,,,,,,,,,,,,,18,,,"0,5",,,,,,,18,,,,,,,,,18,,,,,,,,,,,18,,,,,,,"4,5",,,,,,,,,,,,,,18,,,
90,Meu_trock,SM8,MT90,,,,,,,"0,1",,,,,,,,,,,,"0,5",,,"0,1",,,,,,,18,,"0,1",,,,,,,"0,1",,,,,,,,,"0,5",,18,,,,,"0,5","0,5","4,5",,,,,,,,,,,,,,,,,
91,Meu_trock,SM9,MT91,,,,,,,,,,,,,,,,,,,,,,"0,1",,,,,,,38,,,,,,,,,,,,,,,,,,,,"4,5",,,,,,,"0,5",,,,,,,,,,,,,,,,,
92,Meu_trock,SM10,MT92,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,63,,,,,,,,,,,,,,,,,,,,"0,1",,,,,,,"0,1",,,,,,,,,,,,,,"0,5",,,
93,Meu_trock,SM11,MT93,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,38,,,18,,,,,,,,,,,,,,,,,"0,5",,,,,,,18,,,,,,,,,,,,,,"4,5",,,
94,Meu_trock,SM12,MT94,,,,,,,,,,,,,,,,,,,"4,5",,,"0,5",,,,,,,38,,"0,1","4,5",,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,
95,Meu_trock,SM13,MT95,,,,,,,,,,,,,,,,,,,"4,5",,,"4,5",,,,,,,38,,,63,,,,,,,,,,,,,,"0,5",,,,,,,,,,18,,,,,,,,,,"0,5",,,,18,,,
96,Meu_trock,SM14,MT96,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,18,,,18,,,,,,,,,,,,,,,,,"0,5",,,,,,,38,,,,,,,,,,,,,,,,,
97,Meu_trock,SM15,MT97,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,38,,,"4,5",,,,,,,,,,,,,,"0,5",,,"0,5",,,,,,,38,,,,,,,,,,,,,,,,,
98,Meu_trock,SM16,MT98,,,,,,,"0,1",,,,,,,,,,,,,,,,,,,,,,"4,5",,,,,,,,,,,,,,,,"0,5","0,5",,,,,,,,,"0,5","4,5",,,,,,,,,,"0,5",,,,"4,5",,,
99,Meu_trock,SM17,MT99,,,,,,,"0,1",,,,,,,,,,,,"4,5",,,,,,,,,,"4,5",,"0,5",,,,,,,,,,,"0,5",,,"0,5",,,,,,,,,,"0,5","4,5",,,,,,,,,,"0,5",,,,,,,
100,Meu_trock,SM18,MT100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,"0,1",,,,,,,"4,5",,,,,,"0,5",,,,,,,,,,,,"0,5",,,,,,,,,,"0,5",,,,,,,
101,Meu_trock,SM19,MT101,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,"4,5",,"0,1",,,,,,,38,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,
102,Meu_trock,SM20,MT102,,,,,,,,,,,,,,,,,,,"4,5",,,,,,,,,,88,,,,"4,5",,,,,,,,,,,,,,,,"0,1",,,,,,,"4,5",,,,,,,,,,,,,,,,,
103,Meu_trock,SM21,MT103,,,,,,,"0,1",,,,,,,,,,,,"4,5",,,"0,1",,,,,,,"4,5",,"0,1",,,,,,,,,,,,,,,,,,"0,5",,,,,,,"4,5",,,,,,,,,,,,,,,,,
104,Meu_trock,SM22,MT104,,,,,,,"0,1",,,,,,,,,,,,,,,,,,,,,,"4,5",,,,,,,,,"0,5",,,,,,,,,,,"0,5",,,,,,,"4,5",,,,,,,,,,,,,,,,,
105,Meu_trock,SM23,MT105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,"0,1",,,,,,,,,,,,,,,,,,"4,5",,,,,,,,,,,,,,,,,
106,Meu_trock,SM24,MT106,,,,,,,"0,1",,,,,,,,,,,,,,,"0,1",,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Meu_trock,SM25,MT107,,,,,,,,,,,,,,,,,,,"0,5",,,"4,5",,,,,,,88,,,,,,,,,18,,,,,,,,,,,,,,,,,,"0,1",,,,,,,,,,"0,1",,,,,,,
108,Meu_trock,SM26,MT108,,,,,,,"0,5",,,,,,,,,,,,18,,,"4,5",,,,,,,38,,,,,,,,,"4,5",,,,,,,,,,,"4,5",,,,,,,"4,5",,,,,,,,,,"0,5",,,,18,,,
109,Meu_trock,SM27,MT109,,,,,,,"4,5",,,,,,,,,,,,"4,5",,,"0,5",,,,,,,38,,"0,5",,,,,,,"4,5",,,,,,,,,,,"0,5",,,,,,,"0,5",,,,,,,,,,,,,,,,,
