id	taxonID	scientificName	kingdom
Ephemerum serratum var. rutheanum Jur.	Ephemerum serratum var. rutheanum Jur.	Ephemerum serratum var. rutheanum Jur.	Plantae
Ephemerum sessile (Bruch) C. Muell.	Ephemerum sessile (Bruch) C. Muell.	Ephemerum sessile (Bruch) C. Muell.	Plantae
Ephemerum stellatum Philib.	Ephemerum stellatum Philib.	Ephemerum stellatum Philib.	Plantae
Epipterygium tozeri (Grev.) Lindb.	Epipterygium tozeri (Grev.) Lindb.	Epipterygium tozeri (Grev.) Lindb.	Plantae
Eremonotus myriocarpus (Carring.) Lindb. & Pears.	Eremonotus myriocarpus (Carring.) Lindb. & Pears.	Eremonotus myriocarpus (Carring.) Lindb. & Pears.	Plantae
Eucladium verticillatum (Brid.) B., S. & G.	Eucladium verticillatum (Brid.) B., S. & G.	Eucladium verticillatum (Brid.) B., S. & G.	Plantae
Eurhynchium angustirete (Broth.) Kop.	Eurhynchium angustirete (Broth.) Kop.	Eurhynchium angustirete (Broth.) Kop.	Plantae
Eurhynchium hians (Hedw.) Sande Lac. var. hians (swartzii)	Eurhynchium hians (Hedw.) Sande Lac. var. hians (swartzii)	Eurhynchium hians (Hedw.) Sande Lac. var. hians (swartzii)	Plantae
Eurhynchium hians var. rigidum (Boul.) Duell	Eurhynchium hians var. rigidum (Boul.) Duell	Eurhynchium hians var. rigidum (Boul.) Duell	Plantae
Eurhynchium meridionale (B., S. et G.) De Not.	Eurhynchium meridionale (B., S. et G.) De Not.	Eurhynchium meridionale (B., S. et G.) De Not.	Plantae
Eurhynchium praelongum (Hedw.) B., S. & G. (stokesii)	Eurhynchium praelongum (Hedw.) B., S. & G. (stokesii)	Eurhynchium praelongum (Hedw.) B., S. & G. (stokesii)	Plantae
Eurhynchium pulchellum (Hedw.) Jenn. var. pulchellum (strigosum)	Eurhynchium pulchellum (Hedw.) Jenn. var. pulchellum (strigosum)	Eurhynchium pulchellum (Hedw.) Jenn. var. pulchellum (strigosum)	Plantae
Eurhynchium pulchellum var. diversifolium (B., S. & G.) C. Jens.	Eurhynchium pulchellum var. diversifolium (B., S. & G.) C. Jens.	Eurhynchium pulchellum var. diversifolium (B., S. & G.) C. Jens.	Plantae
Eurhynchium pulchellum var. praecox (Hedw.) Dixon	Eurhynchium pulchellum var. praecox (Hedw.) Dixon	Eurhynchium pulchellum var. praecox (Hedw.) Dixon	Plantae
Eurhynchium pumilum (Wils.) Schimp. (Rhynchostegiella pallidirostris)	Eurhynchium pumilum (Wils.) Schimp. (Rhynchostegiella pallidirostris)	Eurhynchium pumilum (Wils.) Schimp. (Rhynchostegiella pallidirostris)	Plantae
Eurhynchium schleicheri (Hedw. f.) Jur.	Eurhynchium schleicheri (Hedw. f.) Jur.	Eurhynchium schleicheri (Hedw. f.) Jur.	Plantae
Eurhynchium speciosum (Brid.) Jur.	Eurhynchium speciosum (Brid.) Jur.	Eurhynchium speciosum (Brid.) Jur.	Plantae
Eurhynchium striatum (Hedw.) Schimp.	Eurhynchium striatum (Hedw.) Schimp.	Eurhynchium striatum (Hedw.) Schimp.	Plantae
Fabronia ciliaris (Brid.) Brid.	Fabronia ciliaris (Brid.) Brid.	Fabronia ciliaris (Brid.) Brid.	Plantae
Fabronia pusilla Raddi	Fabronia pusilla Raddi	Fabronia pusilla Raddi	Plantae
Fissidens adianthoides Hedw.	Fissidens adianthoides Hedw.	Fissidens adianthoides Hedw.	Plantae
Fissidens arnoldii Ruthe	Fissidens arnoldii Ruthe	Fissidens arnoldii Ruthe	Plantae
Fissidens bryoides Hedw. var. bryoides	Fissidens bryoides Hedw. var. bryoides	Fissidens bryoides Hedw. var. bryoides	Plantae
Fissidens bryoides var. gymnandrus (Buse) Ruthe	Fissidens bryoides var. gymnandrus (Buse) Ruthe	Fissidens bryoides var. gymnandrus (Buse) Ruthe	Plantae
Fissidens crassipes B., S. & G. ex Wils. var. crassipes (= var. rufipes)	Fissidens crassipes B., S. & G. ex Wils. var. crassipes (= var. rufipes)	Fissidens crassipes B., S. & G. ex Wils. var. crassipes (= var. rufipes)	Plantae
Fissidens crassipes var. philibertii Besch.	Fissidens crassipes var. philibertii Besch.	Fissidens crassipes var. philibertii Besch.	Plantae
Fissidens crassipes var. rufipes Schimp.	Fissidens crassipes var. rufipes Schimp.	Fissidens crassipes var. rufipes Schimp.	Plantae
Fissidens cristatus Wils. ex Mitt. (dubius)	Fissidens cristatus Wils. ex Mitt. (dubius)	Fissidens cristatus Wils. ex Mitt. (dubius)	Plantae
Fissidens curnovii Mitt.	Fissidens curnovii Mitt.	Fissidens curnovii Mitt.	Plantae
Fissidens exiguus Sull.	Fissidens exiguus Sull.	Fissidens exiguus Sull.	Plantae
Fissidens exilis Hedw.	Fissidens exilis Hedw.	Fissidens exilis Hedw.	Plantae
Fissidens gracilifolius Bruggem.–Nann. (minutulus)	Fissidens gracilifolius Bruggem.–Nann. (minutulus)	Fissidens gracilifolius Bruggem.–Nann. (minutulus)	Plantae
Fissidens grandifrons Brid.	Fissidens grandifrons Brid.	Fissidens grandifrons Brid.	Plantae
Fissidens gymnandrus Buse (bryoides var. g.)	Fissidens gymnandrus Buse (bryoides var. g.)	Fissidens gymnandrus Buse (bryoides var. g.)	Plantae
Fissidens incurvus Starke ex Roehl. var. incurvus	Fissidens incurvus Starke ex Roehl. var. incurvus	Fissidens incurvus Starke ex Roehl. var. incurvus	Plantae
Fissidens incurvus var. tamarindifolius (Turn.) Braithw.	Fissidens incurvus var. tamarindifolius (Turn.) Braithw.	Fissidens incurvus var. tamarindifolius (Turn.) Braithw.	Plantae
Fissidens limbatus Sull. var. limbatus (herzogii)	Fissidens limbatus Sull. var. limbatus (herzogii)	Fissidens limbatus Sull. var. limbatus (herzogii)	Plantae
Fissidens limbatus var. bambergeri (Schimp. ex Milde) Duell	Fissidens limbatus var. bambergeri (Schimp. ex Milde) Duell	Fissidens limbatus var. bambergeri (Schimp. ex Milde) Duell	Plantae
Fissidens monguillonii Ther. (rivularis var. m.)	Fissidens monguillonii Ther. (rivularis var. m.)	Fissidens monguillonii Ther. (rivularis var. m.)	Plantae
Fissidens osmundoides Hedw.	Fissidens osmundoides Hedw.	Fissidens osmundoides Hedw.	Plantae
Fissidens pusillus (Wils.) Milde	Fissidens pusillus (Wils.) Milde	Fissidens pusillus (Wils.) Milde	Plantae
Fissidens rivularis (Spruce) B., S. & G.	Fissidens rivularis (Spruce) B., S. & G.	Fissidens rivularis (Spruce) B., S. & G.	Plantae
Fissidens rufulus B., S. & G.	Fissidens rufulus B., S. & G.	Fissidens rufulus B., S. & G.	Plantae
Fissidens taxifolius Hedw.	Fissidens taxifolius Hedw.	Fissidens taxifolius Hedw.	Plantae
Fissidens viridulus (Sw.) Wahlenb. var. viridulus	Fissidens viridulus (Sw.) Wahlenb. var. viridulus	Fissidens viridulus (Sw.) Wahlenb. var. viridulus	Plantae
Fontinalis antipyretica Hedw. var. antipyretica	Fontinalis antipyretica Hedw. var. antipyretica	Fontinalis antipyretica Hedw. var. antipyretica	Plantae
Fontinalis antipyretica var. gigantea (Sull. ex Sull. & Lesq.) Sull.	Fontinalis antipyretica var. gigantea (Sull. ex Sull. & Lesq.) Sull.	Fontinalis antipyretica var. gigantea (Sull. ex Sull. & Lesq.) Sull.	Plantae
Fontinalis antipyretica var. gracilis (Lindb.) Schimp.	Fontinalis antipyretica var. gracilis (Lindb.) Schimp.	Fontinalis antipyretica var. gracilis (Lindb.) Schimp.	Plantae
Fontinalis antipyretica var. kindbergii (Ren. & Card.) Card. (howellii)	Fontinalis antipyretica var. kindbergii (Ren. & Card.) Card. (howellii)	Fontinalis antipyretica var. kindbergii (Ren. & Card.) Card. (howellii)	Plantae
Fontinalis dalecarlica B. & S. (prageri)	Fontinalis dalecarlica B. & S. (prageri)	Fontinalis dalecarlica B. & S. (prageri)	Plantae
Fontinalis hypnoides C. J. Hartm. var. hypnoides	Fontinalis hypnoides C. J. Hartm. var. hypnoides	Fontinalis hypnoides C. J. Hartm. var. hypnoides	Plantae
Fontinalis hypnoides var. duriaei (Schimp.) Husn.	Fontinalis hypnoides var. duriaei (Schimp.) Husn.	Fontinalis hypnoides var. duriaei (Schimp.) Husn.	Plantae
Fontinalis squamosa Hedw.	Fontinalis squamosa Hedw.	Fontinalis squamosa Hedw.	Plantae
Fossombronia angulosa (Dicks.) Raddi	Fossombronia angulosa (Dicks.) Raddi	Fossombronia angulosa (Dicks.) Raddi	Plantae
Fossombronia caespitiformis De Not. ex Rabenh.	Fossombronia caespitiformis De Not. ex Rabenh.	Fossombronia caespitiformis De Not. ex Rabenh.	Plantae
Fossombronia foveolata Lindb.	Fossombronia foveolata Lindb.	Fossombronia foveolata Lindb.	Plantae
Fossombronia incurva Lindb.	Fossombronia incurva Lindb.	Fossombronia incurva Lindb.	Plantae
Fossombronia pusilla (L.) Nees	Fossombronia pusilla (L.) Nees	Fossombronia pusilla (L.) Nees	Plantae
Fossombronia wondraczekii (Corda) Dum. ex Lindb.	Fossombronia wondraczekii (Corda) Dum. ex Lindb.	Fossombronia wondraczekii (Corda) Dum. ex Lindb.	Plantae
Frullania dilatata (L.) Dum.	Frullania dilatata (L.) Dum.	Frullania dilatata (L.) Dum.	Plantae
Frullania fragilifolia (Tayl.) Gott.	Frullania fragilifolia (Tayl.) Gott.	Frullania fragilifolia (Tayl.) Gott.	Plantae
Frullania inflata Gott.	Frullania inflata Gott.	Frullania inflata Gott.	Plantae
Frullania jackii Gott.	Frullania jackii Gott.	Frullania jackii Gott.	Plantae
Frullania microphylla (Gott.) Pears.	Frullania microphylla (Gott.) Pears.	Frullania microphylla (Gott.) Pears.	Plantae
Frullania parvistipula Steph. (caucasica)	Frullania parvistipula Steph. (caucasica)	Frullania parvistipula Steph. (caucasica)	Plantae
Frullania riparia Hampe ex. Lehm.	Frullania riparia Hampe ex. Lehm.	Frullania riparia Hampe ex. Lehm.	Plantae
Frullania tamarisci (L.) Dum.	Frullania tamarisci (L.) Dum.	Frullania tamarisci (L.) Dum.	Plantae
Funaria convexa Spruce	Funaria convexa Spruce	Funaria convexa Spruce	Plantae
Funaria hygrometrica Hedw. var. hygrometrica	Funaria hygrometrica Hedw. var. hygrometrica	Funaria hygrometrica Hedw. var. hygrometrica	Plantae
Funaria hygrometrica var. muralis Hueb.	Funaria hygrometrica var. muralis Hueb.	Funaria hygrometrica var. muralis Hueb.	Plantae
Funaria microstoma Bruch ex Schimp.	Funaria microstoma Bruch ex Schimp.	Funaria microstoma Bruch ex Schimp.	Plantae
Funaria muhlenbergii Turn. (dentata)	Funaria muhlenbergii Turn. (dentata)	Funaria muhlenbergii Turn. (dentata)	Plantae
Funaria pulchella Philib. (mediterranea)	Funaria pulchella Philib. (mediterranea)	Funaria pulchella Philib. (mediterranea)	Plantae
Geheebia gigantea (Funck) Boul.	Geheebia gigantea (Funck) Boul.	Geheebia gigantea (Funck) Boul.	Plantae
Geocalyx graveolens (Schrad.) Nees	Geocalyx graveolens (Schrad.) Nees	Geocalyx graveolens (Schrad.) Nees	Plantae
Grimmia affinis Hornsch. (ovata auct.)	Grimmia affinis Hornsch. (ovata auct.)	Grimmia affinis Hornsch. (ovata auct.)	Plantae
Grimmia alpestris (Web. & Mohr) Schleich. ex Hornsch.	Grimmia alpestris (Web. & Mohr) Schleich. ex Hornsch.	Grimmia alpestris (Web. & Mohr) Schleich. ex Hornsch.	Plantae
Grimmia anodon B. & S.	Grimmia anodon B. & S.	Grimmia anodon B. & S.	Plantae
Grimmia anomala Hampe ex Schimp.	Grimmia anomala Hampe ex Schimp.	Grimmia anomala Hampe ex Schimp.	Plantae
Grimmia atrata Mielichh. ex Hoppe & Hornsch.	Grimmia atrata Mielichh. ex Hoppe & Hornsch.	Grimmia atrata Mielichh. ex Hoppe & Hornsch.	Plantae
Grimmia britannica AJE. Smith (robusta)	Grimmia britannica AJE. Smith (robusta)	Grimmia britannica AJE. Smith (robusta)	Plantae
Grimmia caespiticia (Brid.) Jur.	Grimmia caespiticia (Brid.) Jur.	Grimmia caespiticia (Brid.) Jur.	Plantae
Grimmia crinita Brid.	Grimmia crinita Brid.	Grimmia crinita Brid.	Plantae
Grimmia decipiens (K. F. Schultz) Lindb.	Grimmia decipiens (K. F. Schultz) Lindb.	Grimmia decipiens (K. F. Schultz) Lindb.	Plantae
Grimmia donniana Sm. var. donniana	Grimmia donniana Sm. var. donniana	Grimmia donniana Sm. var. donniana	Plantae
Grimmia donniana var. curvula Spruce (G. arenaria)	Grimmia donniana var. curvula Spruce (G. arenaria)	Grimmia donniana var. curvula Spruce (G. arenaria)	Plantae
Grimmia donniana var. triformis (Car. & De Not.) Loeske	Grimmia donniana var. triformis (Car. & De Not.) Loeske	Grimmia donniana var. triformis (Car. & De Not.) Loeske	Plantae
Grimmia elatior Bruch ex Bals. & De Not.	Grimmia elatior Bruch ex Bals. & De Not.	Grimmia elatior Bruch ex Bals. & De Not.	Plantae
Grimmia elongata Kaulf.	Grimmia elongata Kaulf.	Grimmia elongata Kaulf.	Plantae
Grimmia funalis (Schwaegr.) B. & S.	Grimmia funalis (Schwaegr.) B. & S.	Grimmia funalis (Schwaegr.) B. & S.	Plantae
Grimmia hartmanii Schimp.	Grimmia hartmanii Schimp.	Grimmia hartmanii Schimp.	Plantae
Grimmia hartmanii var. montenegrina Beck & Szysz.	Grimmia hartmanii var. montenegrina Beck & Szysz.	Grimmia hartmanii var. montenegrina Beck & Szysz.	Plantae
Grimmia holleri Mol. (apiculata)	Grimmia holleri Mol. (apiculata)	Grimmia holleri Mol. (apiculata)	Plantae
Grimmia incurva Schwaegr.	Grimmia incurva Schwaegr.	Grimmia incurva Schwaegr.	Plantae
Grimmia laevigata (Brid.) Brid. (campestris)	Grimmia laevigata (Brid.) Brid. (campestris)	Grimmia laevigata (Brid.) Brid. (campestris)	Plantae
Grimmia limprichtii Kern	Grimmia limprichtii Kern	Grimmia limprichtii Kern	Plantae
Grimmia montana B. & S.	Grimmia montana B. & S.	Grimmia montana B. & S.	Plantae
Grimmia orbicularis Bruch ex Wils.	Grimmia orbicularis Bruch ex Wils.	Grimmia orbicularis Bruch ex Wils.	Plantae
Grimmia ovalis (Hedw.) Lindb. (commutata)	Grimmia ovalis (Hedw.) Lindb. (commutata)	Grimmia ovalis (Hedw.) Lindb. (commutata)	Plantae
Grimmia plagiopodia Hedw.	Grimmia plagiopodia Hedw.	Grimmia plagiopodia Hedw.	Plantae
Grimmia pulvinata (Hedw.) Sm. ex Sm. & Sowerby var. pulvinata	Grimmia pulvinata (Hedw.) Sm. ex Sm. & Sowerby var. pulvinata	Grimmia pulvinata (Hedw.) Sm. ex Sm. & Sowerby var. pulvinata	Plantae
Grimmia pulvinata var. africana (Hedw.) Hook. f. & Wils.	Grimmia pulvinata var. africana (Hedw.) Hook. f. & Wils.	Grimmia pulvinata var. africana (Hedw.) Hook. f. & Wils.	Plantae
Grimmia sessitana De Not.	Grimmia sessitana De Not.	Grimmia sessitana De Not.	Plantae
Grimmia teretinervis Limpr.	Grimmia teretinervis Limpr.	Grimmia teretinervis Limpr.	Plantae
Grimmia tergestina Tomm. ex B., S. & G. var. tergestina	Grimmia tergestina Tomm. ex B., S. & G. var. tergestina	Grimmia tergestina Tomm. ex B., S. & G. var. tergestina	Plantae
Grimmia tergestina var. poecilostoma Card. & Seb.	Grimmia tergestina var. poecilostoma Card. & Seb.	Grimmia tergestina var. poecilostoma Card. & Seb.	Plantae
Grimmia tergestina var. tergestinoides Culm.	Grimmia tergestina var. tergestinoides Culm.	Grimmia tergestina var. tergestinoides Culm.	Plantae
Grimmia torquata Hornsch. ex Grev.	Grimmia torquata Hornsch. ex Grev.	Grimmia torquata Hornsch. ex Grev.	Plantae
Grimmia trichophylla Grev. var. trichophylla	Grimmia trichophylla Grev. var. trichophylla	Grimmia trichophylla Grev. var. trichophylla	Plantae
Grimmia trichophylla var. brachycarpa De Not. (G. lisae)	Grimmia trichophylla var. brachycarpa De Not. (G. lisae)	Grimmia trichophylla var. brachycarpa De Not. (G. lisae)	Plantae
Grimmia trichophylla var. tenuis (Wahlenb.) Wijk & Marg. (G. muehlenbeckii)	Grimmia trichophylla var. tenuis (Wahlenb.) Wijk & Marg. (G. muehlenbeckii)	Grimmia trichophylla var. tenuis (Wahlenb.) Wijk & Marg. (G. muehlenbeckii)	Plantae
Grimmia unicolor Hook.	Grimmia unicolor Hook.	Grimmia unicolor Hook.	Plantae
Gymnocolea acutiloba (Schiffn.) K. Muell.	Gymnocolea acutiloba (Schiffn.) K. Muell.	Gymnocolea acutiloba (Schiffn.) K. Muell.	Plantae
Gymnocolea inflata (Huds.) Dum. var. inflata	Gymnocolea inflata (Huds.) Dum. var. inflata	Gymnocolea inflata (Huds.) Dum. var. inflata	Plantae
Gymnocolea inflata var. heterostipa (Carring. & Spruce) K. Muell.	Gymnocolea inflata var. heterostipa (Carring. & Spruce) K. Muell.	Gymnocolea inflata var. heterostipa (Carring. & Spruce) K. Muell.	Plantae
Gymnomitrion apiculatum (Schiffn.) K. Muell.	Gymnomitrion apiculatum (Schiffn.) K. Muell.	Gymnomitrion apiculatum (Schiffn.) K. Muell.	Plantae
Gymnomitrion concinnatum (Lightf.) Corda	Gymnomitrion concinnatum (Lightf.) Corda	Gymnomitrion concinnatum (Lightf.) Corda	Plantae
Gymnomitrion corallioides Nees	Gymnomitrion corallioides Nees	Gymnomitrion corallioides Nees	Plantae
Gymnomitrion obtusum (Lindb.) Pears.	Gymnomitrion obtusum (Lindb.) Pears.	Gymnomitrion obtusum (Lindb.) Pears.	Plantae
Gymnostomum aeruginosum Sm.	Gymnostomum aeruginosum Sm.	Gymnostomum aeruginosum Sm.	Plantae
Gymnostomum calcareum Nees & Hornsch.	Gymnostomum calcareum Nees & Hornsch.	Gymnostomum calcareum Nees & Hornsch.	Plantae
Gymnostomum viridulum (luisieri)	Gymnostomum viridulum (luisieri)	Gymnostomum viridulum (luisieri)	Plantae
Gyroweisia tenuis (Hedw.) Schimp.	Gyroweisia tenuis (Hedw.) Schimp.	Gyroweisia tenuis (Hedw.) Schimp.	Plantae
Habrodon perpusillus (De Not.) Lindb.	Habrodon perpusillus (De Not.) Lindb.	Habrodon perpusillus (De Not.) Lindb.	Plantae
Haplocladium angustifolium (Hampe & C. Muell.) Broth.	Haplocladium angustifolium (Hampe & C. Muell.) Broth.	Haplocladium angustifolium (Hampe & C. Muell.) Broth.	Plantae
Haplocladium microphyllum (Hedw.) Broth.	Haplocladium microphyllum (Hedw.) Broth.	Haplocladium microphyllum (Hedw.) Broth.	Plantae
Haplocladium virginianum (Brid.) Broth.	Haplocladium virginianum (Brid.) Broth.	Haplocladium virginianum (Brid.) Broth.	Plantae
Haplohymenium triste (Ces. ex De Not.) Kindb.	Haplohymenium triste (Ces. ex De Not.) Kindb.	Haplohymenium triste (Ces. ex De Not.) Kindb.	Plantae
Haplomitrium hookeri (Sm.) Nees	Haplomitrium hookeri (Sm.) Nees	Haplomitrium hookeri (Sm.) Nees	Plantae
Harpalejeunea ovata (Hook.) Schiffn.	Harpalejeunea ovata (Hook.) Schiffn.	Harpalejeunea ovata (Hook.) Schiffn.	Plantae
Harpanthus flotovianus (Nees) Nees	Harpanthus flotovianus (Nees) Nees	Harpanthus flotovianus (Nees) Nees	Plantae
Harpanthus scutatus (Web. & Mohr) Spruce	Harpanthus scutatus (Web. & Mohr) Spruce	Harpanthus scutatus (Web. & Mohr) Spruce	Plantae
Hedwigia ciliata (Hedw.) P. Beauv.	Hedwigia ciliata (Hedw.) P. Beauv.	Hedwigia ciliata (Hedw.) P. Beauv.	Plantae
Hedwigia integrifolia P. Beauv. (Hedwigidium)	Hedwigia integrifolia P. Beauv. (Hedwigidium)	Hedwigia integrifolia P. Beauv. (Hedwigidium)	Plantae
Hedwigia stellata Hedenaes	Hedwigia stellata Hedenaes	Hedwigia stellata Hedenaes	Plantae
Helodium blandowii (Web. & Mohr) Warnst.	Helodium blandowii (Web. & Mohr) Warnst.	Helodium blandowii (Web. & Mohr) Warnst.	Plantae
Herbertus sendtneri (Nees) Lindb.	Herbertus sendtneri (Nees) Lindb.	Herbertus sendtneri (Nees) Lindb.	Plantae
Herzogiella seligeri (Brid.) Iwats.	Herzogiella seligeri (Brid.) Iwats.	Herzogiella seligeri (Brid.) Iwats.	Plantae
Herzogiella striatella (Brid.) Iwats.	Herzogiella striatella (Brid.) Iwats.	Herzogiella striatella (Brid.) Iwats.	Plantae
Heterocladium dimorphum (Brid.) B., S. & G. (squarrosulum)	Heterocladium dimorphum (Brid.) B., S. & G. (squarrosulum)	Heterocladium dimorphum (Brid.) B., S. & G. (squarrosulum)	Plantae
Heterocladium heteropterum (Brid.) B., S. & G.	Heterocladium heteropterum (Brid.) B., S. & G.	Heterocladium heteropterum (Brid.) B., S. & G.	Plantae
Heterocladium heteropterum var. wulfsbergii (I. Hag.) C. Jens. & Perss.	Heterocladium heteropterum var. wulfsbergii (I. Hag.) C. Jens. & Perss.	Heterocladium heteropterum var. wulfsbergii (I. Hag.) C. Jens. & Perss.	Plantae
Heterophyllium affine (Hook. ex Kunth) Fleischer (nemorosum)	Heterophyllium affine (Hook. ex Kunth) Fleischer (nemorosum)	Heterophyllium affine (Hook. ex Kunth) Fleischer (nemorosum)	Plantae
Homalia lusitanica Schimp.	Homalia lusitanica Schimp.	Homalia lusitanica Schimp.	Plantae
Homalia trichomanoides (Hedw.) B., S. & G.	Homalia trichomanoides (Hedw.) B., S. & G.	Homalia trichomanoides (Hedw.) B., S. & G.	Plantae
Homalothecium aureum (Lag.) Robins.	Homalothecium aureum (Lag.) Robins.	Homalothecium aureum (Lag.) Robins.	Plantae
Homalothecium geheebii (Milde) Wigh (Cirriphyllum)	Homalothecium geheebii (Milde) Wigh (Cirriphyllum)	Homalothecium geheebii (Milde) Wigh (Cirriphyllum)	Plantae
Homalothecium lutescens (Hedw.) Robins. var. lutescens	Homalothecium lutescens (Hedw.) Robins. var. lutescens	Homalothecium lutescens (Hedw.) Robins. var. lutescens	Plantae
Homalothecium lutescens var. fallax (Philib. ex Schimp.) Duell	Homalothecium lutescens var. fallax (Philib. ex Schimp.) Duell	Homalothecium lutescens var. fallax (Philib. ex Schimp.) Duell	Plantae
Homalothecium nitens (Hedw.) Robins. var. nitens (Tomenthypnum)	Homalothecium nitens (Hedw.) Robins. var. nitens (Tomenthypnum)	Homalothecium nitens (Hedw.) Robins. var. nitens (Tomenthypnum)	Plantae
Homalothecium nitens var. involutum (Limpr.) Wijk & Marg.	Homalothecium nitens var. involutum (Limpr.) Wijk & Marg.	Homalothecium nitens var. involutum (Limpr.) Wijk & Marg.	Plantae
Homalothecium philippeanum (Spruce) B., S. & G.	Homalothecium philippeanum (Spruce) B., S. & G.	Homalothecium philippeanum (Spruce) B., S. & G.	Plantae
Homalothecium sericeum (Hedw.) B., S. & G.	Homalothecium sericeum (Hedw.) B., S. & G.	Homalothecium sericeum (Hedw.) B., S. & G.	Plantae
Homomallium incurvatum (Brid.) Loeske	Homomallium incurvatum (Brid.) Loeske	Homomallium incurvatum (Brid.) Loeske	Plantae
Hookeria lucens (Hedw.) Sm.	Hookeria lucens (Hedw.) Sm.	Hookeria lucens (Hedw.) Sm.	Plantae
Hydrogrimmia mollis (B., S. et G.) Loeske	Hydrogrimmia mollis (B., S. et G.) Loeske	Hydrogrimmia mollis (B., S. et G.) Loeske	Plantae
Hygroamblystegium fluviatile (Hedw.) Loeske	Hygroamblystegium fluviatile (Hedw.) Loeske	Hygroamblystegium fluviatile (Hedw.) Loeske	Plantae
Hygroamblystegium tenax (Hedw.) Jenn.	Hygroamblystegium tenax (Hedw.) Jenn.	Hygroamblystegium tenax (Hedw.) Jenn.	Plantae
Hygrobiella laxifolia (Hook.) Spruce	Hygrobiella laxifolia (Hook.) Spruce	Hygrobiella laxifolia (Hook.) Spruce	Plantae
Hygrohypnum alpestre (Hedw.) Loeske	Hygrohypnum alpestre (Hedw.) Loeske	Hygrohypnum alpestre (Hedw.) Loeske	Plantae
Hygrohypnum cochlearifolium (Vent.) Broth.	Hygrohypnum cochlearifolium (Vent.) Broth.	Hygrohypnum cochlearifolium (Vent.) Broth.	Plantae
Hygrohypnum eugyrium (Schimp.) Broth.	Hygrohypnum eugyrium (Schimp.) Broth.	Hygrohypnum eugyrium (Schimp.) Broth.	Plantae
Hygrohypnum luridum (Hedw.) Jenn. var. luridum	Hygrohypnum luridum (Hedw.) Jenn. var. luridum	Hygrohypnum luridum (Hedw.) Jenn. var. luridum	Plantae
Hygrohypnum luridum var. subsphaericarpon (Schleich. ex Brid.) C. Jens.	Hygrohypnum luridum var. subsphaericarpon (Schleich. ex Brid.) C. Jens.	Hygrohypnum luridum var. subsphaericarpon (Schleich. ex Brid.) C. Jens.	Plantae
Hygrohypnum molle (Hedw.) Loeske var. molle (alpinum, duriusculum)	Hygrohypnum molle (Hedw.) Loeske var. molle (alpinum, duriusculum)	Hygrohypnum molle (Hedw.) Loeske var. molle (alpinum, duriusculum)	Plantae
Hygrohypnum norvegicum (B., S. & G.) Amann	Hygrohypnum norvegicum (B., S. & G.) Amann	Hygrohypnum norvegicum (B., S. & G.) Amann	Plantae
Hygrohypnum ochraceum (Turn. ex Wils.) Loeske	Hygrohypnum ochraceum (Turn. ex Wils.) Loeske	Hygrohypnum ochraceum (Turn. ex Wils.) Loeske	Plantae
Hygrohypnum polare (Lindb.) Loeske	Hygrohypnum polare (Lindb.) Loeske	Hygrohypnum polare (Lindb.) Loeske	Plantae
Hygrohypnum smithii (Sw. ex Liljebl.) Broth.	Hygrohypnum smithii (Sw. ex Liljebl.) Broth.	Hygrohypnum smithii (Sw. ex Liljebl.) Broth.	Plantae
Hygrohypnum styriacum (Limpr.) Broth.	Hygrohypnum styriacum (Limpr.) Broth.	Hygrohypnum styriacum (Limpr.) Broth.	Plantae
Hylocomium brevirostre (Brid.) B., S. & G.	Hylocomium brevirostre (Brid.) B., S. & G.	Hylocomium brevirostre (Brid.) B., S. & G.	Plantae
Hylocomium pyrenaicum (Spruce) Lindb.	Hylocomium pyrenaicum (Spruce) Lindb.	Hylocomium pyrenaicum (Spruce) Lindb.	Plantae
Hylocomium splendens (Hedw.) B., S. & G. var. splendens	Hylocomium splendens (Hedw.) B., S. & G. var. splendens	Hylocomium splendens (Hedw.) B., S. & G. var. splendens	Plantae
Hylocomium splendens var. alaskanum (Lesq. & James) C. Jens.	Hylocomium splendens var. alaskanum (Lesq. & James) C. Jens.	Hylocomium splendens var. alaskanum (Lesq. & James) C. Jens.	Plantae
Hylocomium umbratum (Hedw.) B., S. & G.	Hylocomium umbratum (Hedw.) B., S. & G.	Hylocomium umbratum (Hedw.) B., S. & G.	Plantae
Hymenostylium recurvirostrum (Hedw.) Dixon	Hymenostylium recurvirostrum (Hedw.) Dixon	Hymenostylium recurvirostrum (Hedw.) Dixon	Plantae
Hyocomium amoricum (Brid.) Wijk & Marg. (flagellare)	Hyocomium amoricum (Brid.) Wijk & Marg. (flagellare)	Hyocomium amoricum (Brid.) Wijk & Marg. (flagellare)	Plantae
Hyophila involuta (Hook.) Jaeg. & Sauerb.	Hyophila involuta (Hook.) Jaeg. & Sauerb.	Hyophila involuta (Hook.) Jaeg. & Sauerb.	Plantae
Hypnum bambergeri Schimp.	Hypnum bambergeri Schimp.	Hypnum bambergeri Schimp.	Plantae
Hypnum callichroum Brid.	Hypnum callichroum Brid.	Hypnum callichroum Brid.	Plantae
Hypnum cupressiforme Hedw. ssp. cupr. var. cupressiforme	Hypnum cupressiforme Hedw. ssp. cupr. var. cupressiforme	Hypnum cupressiforme Hedw. ssp. cupr. var. cupressiforme	Plantae
